Category,Title,Author,Price,cover_img
Administração,ALÉM DA SEGURANÇA PSICOLÓGICA,"Autor:BORRONI-BIANCASTELLI, LUCA","R$ 79,90",https://livrariacultura.vteximg.com.br/arquivos/ids/152432677-300-300/2112331454.jpg?v=638188009570700000
Administração,A PSICOLOGIA FINANCEIRA,"Tradutor:FIUZA, BRUNO|Tradutor:CLAPP, ROBERTA|Autor:HOUSEL, MORGAN","R$ 49,90",https://livrariacultura.vteximg.com.br/arquivos/ids/148199848-300-300/2112285009.jpg?v=638144333968230000
Administração,ESSENCIALISMO,"Tradutor:MEDINA, BEATRIZ|Autor:MCKEOWN, GREG","R$ 59,90",https://livrariacultura.vteximg.com.br/arquivos/ids/148177614-300-300/42890455.jpg?v=638144297846600000
Administração,NETWORKING - DE PUTA A PADRE,"BOM, BRUNO PEDRO / MESQUITA NETO, ANTONIO AMARO","R$ 69,90",https://livrariacultura.vteximg.com.br/arquivos/ids/156488729-300-300/2112337686.png?v=638302974028370000
Administração,JOGO DESCUBRA SEU TIPO DE PERSONALIDADE NO,"Autor:MEDA, MARCO|Autor:ROMA, ANDRÉIA","R$ 179,90",https://livrariacultura.vteximg.com.br/arquivos/ids/150285278-300-300/2112335950.jpg?v=638163928308930000
Administração,ULTRACORAJOSO,"Autor:JOTA, JOEL","R$ 54,90",https://livrariacultura.vteximg.com.br/arquivos/ids/148203910-300-300/2112306332.jpg?v=638144340854630000
Administração,A ORGANIZAÇÃO SEM MEDO,"Autor:EDMONDSON, AMY C.","R$ 81,00",https://livrariacultura.vteximg.com.br/arquivos/ids/148200439-300-300/2112286216.jpg?v=638144334905030000
Administração,AS ARMAS DA PERSUASÃO,"Autor:CIALDINI, ROBERT B.|Tradutor:KORYTOWSKI, IVO","R$ 54,90",https://livrariacultura.vteximg.com.br/arquivos/ids/148174472-300-300/30176907.jpg?v=638144290215170000
Administração,COMECE PELO PORQUÊ,"Autor:SINEK, SIMON","R$ 59,90",https://livrariacultura.vteximg.com.br/arquivos/ids/148192119-300-300/2111519301.jpg?v=638144320465400000
Administração,COMO CHEGAR AO SIM,"Autor:FISHER, ROGER|Autor:PATTON, BRUCE|Autor:URY, WILLIAM|Tradutor:AGAVINO, RACHEL","R$ 54,90",https://livrariacultura.vteximg.com.br/arquivos/ids/148190902-300-300/2000175581.jpg?v=638144318470770000
Administração,SEJA FODA!,"Autor:CARNEIRO, CAIO","R$ 59,90",https://livrariacultura.vteximg.com.br/arquivos/ids/149495662-300-300/40126366.jpg?v=638156217556700000
Administração,LIDERANÇA E PROPÓSITO,"Autor:KOFMAN, FRED|Tradutor:ZEYTOULIAN, WILLIAM","R$ 54,90",https://livrariacultura.vteximg.com.br/arquivos/ids/148190787-300-300/2000178149.jpg?v=638144318296600000
Administração,AS 9 CRIANÇAS FERIDAS DO ENEAGRAMA,"Organizador:ANDRÉIA ROMA|Autor:MARCO MEDA|Autor:ZUIN, MARIANA","R$ 89,90",https://livrariacultura.vteximg.com.br/arquivos/ids/151122980-300-300/2112336240.jpg?v=638172123232700000
Administração,UMA SOBE E PUXA A OUTRA,"Autor:PELAJO, CHRISTIANE","R$ 68,90",https://livrariacultura.vteximg.com.br/arquivos/ids/151167571-300-300/2112335382.jpg?v=638173272946170000
Administração,PLANEJAMENTO ESTRATÉGICO,"Autor:CHIAVENATO, IDALBERTO","R$ 150,00",https://livrariacultura.vteximg.com.br/arquivos/ids/156145208-300-300/2112334343.jpg?v=638211291351870000
Administração,GERENCIANDO COM AS PESSOAS,"Autor:CHIAVENATO, IDALBERTO","R$ 119,00",https://livrariacultura.vteximg.com.br/arquivos/ids/152039653-300-300/2112333106.jpg?v=638185426733000000
